Gas,M,sigma,eK,Omega,D_ag,R_ag
Ar,39.948,3.432,122.4,0.9762484358622264,0.19063733497718843,1.2656600240088616
CH4,16.04,3.78,154.0,1.0099567505435718,0.21341885521541915,1.1305564061838407
CO,28.01,3.59,110.0,0.9617688368235061,0.20101361773457044,1.2003269066218982
CO2,44.01,3.996,190.0,1.0442372033992429,0.1498031667288821,1.6106605703529124
COS,60.076,4.13,336.0,1.1570352311106162,0.12343883093683292,1.9546689816568694
H2O,18.015,2.725,358.0,1.1716035473167004,0.24128205396421368,1.0
N2,28.013,3.667,99.8,0.9491767603399124,0.1993914041645216,1.2100925562725227
N2O,44.012,3.879,220.0,1.0703311861737448,0.15074765451019734,1.600569207847225
NO,30.006,3.47,119.0,0.9723599375154114,0.20210777110342126,1.1938286818310733
O2,31.999,3.433,113.0,0.9653495668276673,0.2025468744133059,1.19124056919223
SO2,64.065,4.026,363.0,1.1748481985259016,0.12362682345051877,1.9516966239999365
